entryId,entityType,contentfulUrl,slug,Test Form?,formEntityNames,BW Campaign ID,Campaign Member Status,Campaign Name,CXM Campaign ID,Form Name,Form Type,Global Campaign ID,Journey Stage,Lead Source,Lead Source Other,MONET Campaign ID,Product Interest,Solution,US Campaign ID
35kZoEvHPN2UOjabv6WQYZ,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/35kZoEvHPN2UOjabv6WQYZ,de-DE=ressourcen/auswirkungen-der-automatisierung-auf-den-dokumenten-workflow-pilotstudie; en-US=ebooks-papers/how-automation-impacts-document-workflow-pilot-study; es=recursos/como-la-automatizacion-afecta-el-flujo-de-trabajo-documental-un-estudio-piloto; it-IT=risorse/come-lautomazione-incide-sul-workflow-dei-documenti-uno-studio-pilota; nl-NL=bronnen/how-automation-impacts-document-workflow-pilot-study,N,C1 - Digital - Hand Raiser Form,,WP-IDA-Automation Document Workflow,,,MCCF - FY20-Q2-GL-CEC-IB-BPA-Automation Document Workflow,,7016g000000EFaiAAG,Awareness,,,,,Intelligent Document Automation,7010y000000n5I7AAI
2sT9iERPvYCrDzSqDy9uds,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2sT9iERPvYCrDzSqDy9uds,de-DE=ressourcen/bessere-kundenerlebnisse-schaffen; en-US=ebooks-papers/delivering-better-customer-experience; es=recursos/ofreciendo-mejor-experiencia-cliente; fr-FR=ressources/livre-blanc-madison-advisors-experience-client-ccm,N,C1 - Digital - Hand Raiser Form,,WP-CXM-Madison Advisors Deliver BetterCX,,701Rp00000KQ7aGIAT,,,,Awareness,,,,Customer Communications Management,Customer Communications,
2mD0Q1G4JUauTGTDaip5Oq,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2mD0Q1G4JUauTGTDaip5Oq,de-DE=ressourcen/bmo-digitale-transformation-des-privatkunden-banking; en-US=case-studies/bmo-digital-transformation-personal-banking; es=recursos/bmo-transformation-digital-en-la-banca-personal; it-IT=risorse/bmo-la-trasformazione-digitale-nel-personal-banking; ja-JP=resources/celent-case-study-bmo-digital-transformation-personal-banking,N,C1 - Digital - Hand Raiser Form,,CS-Celent - Bank of Montreal|CS-CXM-Celent - Bank of Montreal,,7012A000001V5nfQAC,MCCF - FY17-Q1-GL-BD-INT-GMC-BMO Case Study,,,Awareness,,,,Customer Communications Management,Customer Communications,
36NCo9tYSEQ282xIrSUpgj,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/36NCo9tYSEQ282xIrSUpgj,de-DE=ressourcen/ccm-101; en-US=ebooks-papers/ccm-101,N,C1 - Digital - Hand Raiser Form,,GD-CXM-CCM_101,,7013k000001jgJtAAI,,,,Awareness,,,,Customer Communications Management,Customer Communications,
2jALhMTdHeQfwkAWzN0F7B,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2jALhMTdHeQfwkAWzN0F7B,de-DE=ressourcen/das-digitale-buro-fur-kmu-hurden-der-dokumentenautomatisierung-uberwinden; en-US=ebooks-papers/enabling-your-digital-office-smbs-breaking-barriers-document-automation-0,N,C1 - Digital - Hand Raiser Form,,,,,,,,Awareness,,,,Mail Automation Software,Intelligent Document Automation,
5Q3MdESqwtfxapaxAjUNMt,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5Q3MdESqwtfxapaxAjUNMt,de-DE=ressourcen/der-ultimative-ki-leitfaden-forderungsmanagement; en-US=ebooks-papers/ultimate-ai-guide-accounts-receivable-professionals,N,C1 - Digital - Hand Raiser Form,701OL000004mC9SYAU,EB-AR-Ultimate-AI-Guide,FY23-Q4-AM-FA-AR-Ultimate-AI-Guide-AR-Professionals-eBook,,,,,Awareness,,,,Accounts Receivable Automation,Accounts Receivable,
3UpL23OodxIOVdzewY9f0f,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3UpL23OodxIOVdzewY9f0f,de-DE=ressourcen/forrester-total-economic-impact-studie; en-US=ebooks-papers/forrester-tei; fr-FR=ressources/forrester-tei,N,C1 - Digital - Hand Raiser Form,7015a0000019gnoAAA,RP-AR-YayPay_Forrester_TEI_Report,,,MCCF - FY21-Q2-GL-CEC-BPA-YayPay_Forrester_TEI_Report,,7014X000002HCEmQAO,Awareness,Email Campaign,,,Accounts Receivable Automation,Accounts Receivable,7014X000002lyluQAA
g9a0nkrjbYVFLUZYwBCCX,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/g9a0nkrjbYVFLUZYwBCCX,de-DE=ressourcen/funf-anzeichen-dafur-CCM-plattform; en-US=ebooks-papers/five-signs-your-customer-communications-management-platform-no-longer-serving-you; es=recursos/cinco-senales-ccm-no-le-esta-sirviendo; fr-FR=ressources/5-signes-plateforme-CCM-depassee; it-IT=risorse/cinque-segnali-che-la-piattaforma-di-customer-communications-management-non-e-piu-funzionale,N,C1 - Digital - Hand Raiser Form,,,,,,,,Awareness,,,,Customer Communications Management,Customer Communications,
3ReupAdPZFhxSXmjUcRuL1,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3ReupAdPZFhxSXmjUcRuL1,de-DE=ressourcen/kritische-momente-kontaktpunkte-die-das-kundenerlebnis-pragen; en-US=ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience; es=recursos/momentos-que-importan-puntos-criticos-que-impactan-la-experiencia-del-cliente; fr-FR=ressources/des-moments-qui-comptent-les-points-de-contact-critiques-qui-font-ou-defont-lexperience-du-client; ja-JP=resources/決定的な瞬間：カスタマーエクスペリエンスの成否を分ける重要なタッチポイント「英語」; nl-NL=bronnen/moments-matter-critical-touchpoints-make-or-break-customer-experience,N,C1 - Digital - Hand Raiser Form,,EB-CXM-Moments that matter,,7013k000001W2pa,,,,Awareness,,,,Customer Communications Management,Customer Communications,
2Mc652LAy1OTMJdV82erKs,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2Mc652LAy1OTMJdV82erKs,de-DE=ressourcen/kundenkommunikation-Cloud-SaaS-upgrade-CCM; en-US=ebooks-papers/saas-customer-communications-replacementupgrade; es=recursons-sustitucion-actualizacion-sistema-SaaS-comunicacion-clientes; fr-FR=ressources/guide-mise-a-niveau-ccm-saas,N,C1 - Digital - Hand Raiser Form,,GD-CXM-SaaS Replacement/Upgrade,,701Rp00000JFXOvIAP,,,,Awareness,,,,Customer Communications Management,Customer Communications,
2JUV3dNLO9EfxaZqoBRG95,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2JUV3dNLO9EfxaZqoBRG95,de-DE=ressourcen/legacy-konsolidierung-operative-transformation; en-US=ebooks-papers/legacy-consolidation-operational-transformation; es=recursos-consolidacion-sistemas-heredados-transformacion-operativa; fr-FR=ressources/guide-consolidation-systemes-CCM-herites,N,C1 - Digital - Hand Raiser Form,,GD-CXM-Legacy Consolidation/Transformati,,701Rp00000JFW35IAH,,,,Awareness,,,,Customer Communications Management,Customer Communications,
